id_2002,share_victims
1101,1.230012
1401,0
2101,3.239391
2102,0
2103,0
2104,0
2202,5.650886
2301,7.643541
2303,1.130454
3101,5.01031
3102,0
3103,2.461236
3201,0.5421376
3301,0.9534025
3303,0
3304,0
4101,3.049034
4102,0.3510989
4103,1.994813
4104,0
4105,0
4106,2.181025
4201,0.4817884
4202,0
4203,0.9358914
4204,0
4301,0.3715538
4302,0.5770007
4303,0
4304,0
4305,0
5101,2.115275
5102,0
5105,1.318565
5106,0.8837201
5107,2.532714
5108,0.2689329
5109,1.535927
5301,0.6543432
5302,0
5303,0
5304,0
5401,3.116041
5402,1.536925
5403,0
5404,0
5405,0
5501,3.830722
5503,0
5504,0
5505,1.328963
5506,0
5507,0
5601,2.758874
5602,0
5603,1.372307
5604,0
5605,0
5701,1.747081
5702,0
5703,0.7091193
5704,0
5705,5.501847
5706,0
6101,0.9480071
6102,0
6103,0
6104,0
6105,0
6106,0
6107,0
6108,0
6109,0
6110,0.8707767
6111,0
6112,0
6113,0.7421701
6114,0
6115,1.060445
6116,0
6117,0.3523236
6202,0
6203,0
6204,2.240645
6205,0
6206,0
6210,0
6301,2.025522
6302,0
6303,0
6304,0
6305,0
6306,0
6307,0
6308,0
6309,0
6310,1.036538
7101,1.556193
7102,1.27054
7103,0
7104,0
7105,1.300644
7106,0.6362132
7107,0
7108,0
7109,0.8586271
7201,1.55147
7202,3.212077
7301,0.4998251
7302,0
7303,0
7304,0.3219471
7305,0
7306,0.8454515
7307,0.7656968
7308,0
7309,0
7401,1.954557
7402,0
7403,0
7405,0.6648052
7406,2.900022
7407,0.7091193
7408,0
8101,1.742077
8102,0.7893698
8104,0
8105,0
8106,1.161755
8107,0.8866034
8109,0
8110,1.505679
8111,1.341172
8201,0
8202,0.5010773
8203,0
8204,0.7108836
8205,1.416163
8206,0
8301,4.21104
8303,0
8304,8.586454
8305,11.0516
8306,0.565451
8307,0
8309,3.12032
8310,0.697496
8312,1.193887
8313,1.825984
8401,5.721989
8402,1.236858
8403,6.404099
8404,1.581528
8405,2.323825
8407,0
8408,3.067955
8409,0
8410,2.640264
8411,1.158614
8412,0
8413,0
8414,0.8932559
8415,0
8416,0.3187657
8417,0
8418,0
8419,3.283713
8421,0
9101,6.090843
9102,2.991549
9103,2.673368
9105,1.746877
9106,12.85819
9107,2.081887
9108,11.47666
9109,0
9111,0.3295219
9112,6.090843
9113,4.235045
9114,7.180039
9115,0.5801137
9116,1.370004
9117,1.370004
9118,1.23221
9119,0
9120,0.417903
9121,2.991549
9201,1.385656
9202,0
9203,1.255966
9204,0
9205,2.061218
9206,0
9207,0
9208,0
9209,2.901073
9210,0
9211,1.40164
10101,2.635529
10102,0
10103,0
10104,0
10105,0
10106,0
10107,0
10108,0.6841817
10109,0
10201,0.8760787
10202,0
10203,0
10204,0
10205,0
10206,0
10207,0
10208,1.267748
10209,0
10210,1.739887
10301,1.780326
10302,3.506311
10303,0
10305,1.905972
10401,0
10402,4.170142
10404,11.89061
11101,3.84041
11102,0
11201,2.22585
11202,3.681885
11401,0
11402,0
12101,0.9153178
12104,0
12301,11.09262
12302,0
12401,0.7301935
13104,3.495281
13109,1.622475
13110,5.051733
13111,2.440781
13113,3.982982
13114,2.306914
13119,3.38851
13120,3.383998
13123,7.335988
13125,10.19458
13126,2.753484
13128,4.529515
13130,4.326848
13201,4.272253
13202,3.727634
13203,5.490282
13301,2.159827
13302,1.943635
13303,0
13401,6.313291
13402,0.6356673
13403,0
13501,0.6076195
13502,0
13503,7.846556
13504,0
13505,1.212856
13601,0.4250616
13602,0.6715015
13605,2.10073
14101,4.341974
14102,1.799856
14103,0.6892749
14104,0
14105,0
14106,0.6416426
14107,0
14201,1.872601
14203,3.141197
14204,1.40484
15101,2.164783
15102,0
15202,0
