lat,lon
-20.25994,-70.13945
-23.62685,-70.39211
-22.44456,-68.89398
-27.37349,-70.32307
-29.90744,-71.21302
-33.05193,-71.61281
-33.01804,-71.5314
-32.83816,-70.58797
-32.88619,-71.24906
-33.61297,-71.59059
-32.75349,-70.71712
-34.58646,-70.97098
-35.43141,-71.6472
-35.96268,-72.30853
-34.99805,-71.21418
-35.8723,-71.54099
-36.82007,-73.03826
-37.4557,-72.34975
-36.61101,-72.10495
-38.72242,-72.63241
-38.54557,-72.35216
-37.80779,-72.71485
-38.26165,-72.6731
-38.27482,-72.28901
-41.47599,-72.94009
-40.58455,-73.13052
-45.57119,-72.02462
-53.16274,-70.89619
-53.29614,-70.37191
-51.72847,-72.49763
-33.43501,-70.6122
-33.59912,-70.57892
-33.2183,-70.67929
-33.59943,-70.69625
-39.83263,-73.22566
-18.47821,-70.27222
